MSA,Year,Primary City in MSA,Primary State in MSA,Total Year-Round Beds (ES+TH)
"Detroit-Warren-Dearborn, MI MSA",2007,Detroit,MI,4942
"Pittsburgh, PA MSA",2021,Pittsburgh,PA,725
"Orlando-Kissimmee-Sanford, FL MSA",2020,Orlando,FL,1986
"Indianapolis-Carmel-Anderson, IN MSA",2012,Indianapolis,IN,1807
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2019,Chicago,IL,6071
"Raleigh-Cary, NC MSA",2010,Raleigh,NC,1832
"Denver-Aurora-Lakewood, CO MSA",2012,Denver,CO,4649
"Houston-The Woodlands-Sugar Land, TX MSA",2008,Houston,TX,3715
"Charlotte-Concord-Gastonia, NC-SC MSA",2015,Charlotte,NC,1808
"Seattle-Tacoma-Bellevue, WA MSA",2018,Seattle,WA,7923
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2010,Virginia Beach,VA,1426
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2008,Atlanta,GA,4768
"San Antonio-New Braunfels, TX MSA",2017,San Antonio,TX,2252
"Baltimore-Columbia-Towson, MD MSA",2020,Baltimore,MD,2491
"Baltimore-Columbia-Towson, MD MSA",2011,Baltimore,MD,2888
"New York-Newark-Jersey City, NY-NJ-PA MSA",2011,New York,NY,61762
"Sacramento-Roseville-Folsom, CA MSA",2017,Sacramento,CA,1431
"Seattle-Tacoma-Bellevue, WA MSA",2008,Seattle,WA,9284
"Riverside-San Bernardino-Ontario, CA MSA",2016,Riverside,CA,1737
"Denver-Aurora-Lakewood, CO MSA",2010,Denver,CO,4386
"Jacksonville, FL MSA",2021,Jacksonville,FL,1399
"Dallas-Fort Worth-Arlington, TX MSA",2007,Dallas,TX,6108
"Cleveland-Elyria, OH MSA",2014,Cleveland,OH,1916
"San Diego-Chula Vista-Carlsbad, CA MSA",2019,San Diego,CA,3859
"Houston-The Woodlands-Sugar Land, TX MSA",2021,Houston,TX,2735
"San Jose-Sunnyvale-Santa Clara, CA MSA",2017,San Jose,CA,1652
"Kansas City, MO-KS MSA",2008,Kansas City,KS,179
"Tampa-St Petersburg-Clearwater, FL MSA",2007,Tampa,FL,2432
"Milwaukee-Waukesha, WI MSA",2012,Milwaukee,WI,1528
"Memphis, TN-MS-AR MSA",2016,Memphis,TN,1552
"Riverside-San Bernardino-Ontario, CA MSA",2021,Riverside,CA,2293
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2015,Nashville,TN,2202
"St. Louis, MO-IL MSA",2012,St. Louis,MO,1930
"Columbus, OH MSA",2009,Columbus,OH,941
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2011,Chicago,IL,7673
"San Francisco-Oakland-Berkeley, CA MSA",2019,San Francisco,CA,5678
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2022,Nashville,TN,1344
"Cleveland-Elyria, OH MSA",2008,Cleveland,OH,1997
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2021,Philadelphia,PA,8331
"Columbus, OH MSA",2017,Columbus,OH,1229
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2012,Chicago,IL,7653
"Salt Lake City, UT MSA",2021,Salt Lake City,UT,1771
"Phoenix-Mesa-Chandler, AZ MSA",2014,Phoenix,AZ,5559
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2008,Chicago,IL,7793
"Detroit-Warren-Dearborn, MI MSA",2019,Detroit,MI,2234
"Seattle-Tacoma-Bellevue, WA MSA",2014,Seattle,WA,8305
"Indianapolis-Carmel-Anderson, IN MSA",2022,Indianapolis,IN,1602
"Seattle-Tacoma-Bellevue, WA MSA",2020,Seattle,WA,8513
"Houston-The Woodlands-Sugar Land, TX MSA",2007,Houston,TX,4255
"Memphis, TN-MS-AR MSA",2007,Memphis,TN,1745
"San Diego-Chula Vista-Carlsbad, CA MSA",2008,San Diego,CA,2312
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,Los Angeles,CA,18926
"Charlotte-Concord-Gastonia, NC-SC MSA",2017,Charlotte,NC,1389
"Birmingham-Hoover, AL MSA",2011,Birmingham,AL,1235
"St. Louis, MO-IL MSA",2015,St. Louis,MO,1749
"Louisville/Jefferson County, KY-IN MSA",2015,Louisville,KY,1062
"Riverside-San Bernardino-Ontario, CA MSA",2007,Riverside,CA,2628
"Las Vegas-Henderson-Paradise, NV MSA",2020,Las Vegas,NV,2250
"Dallas-Fort Worth-Arlington, TX MSA",2012,Dallas,TX,5826
"Charlotte-Concord-Gastonia, NC-SC MSA",2009,Charlotte,NC,1760
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2022,Washington,DC,8182
"San Diego-Chula Vista-Carlsbad, CA MSA",2007,San Diego,CA,2203
"San Francisco-Oakland-Berkeley, CA MSA",2010,San Francisco,CA,5706
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2013,Chicago,IL,7460
"San Diego-Chula Vista-Carlsbad, CA MSA",2012,San Diego,CA,4275
"Detroit-Warren-Dearborn, MI MSA",2010,Detroit,MI,4075
"Seattle-Tacoma-Bellevue, WA MSA",2013,Seattle,WA,8528
"Portland-Vancouver-Hillsboro, OR-WA MSA",2021,Portland,OR,2725
"New York-Newark-Jersey City, NY-NJ-PA MSA",2012,New York,NY,67167
"San Antonio-New Braunfels, TX MSA",2014,San Antonio,TX,2362
"Milwaukee-Waukesha, WI MSA",2015,Milwaukee,WI,1548
"Seattle-Tacoma-Bellevue, WA MSA",2007,Seattle,WA,9778
"San Diego-Chula Vista-Carlsbad, CA MSA",2011,San Diego,CA,3923
"Austin-Round Rock-Georgetown, TX MSA",2010,Austin,TX,1203
"Cleveland-Elyria, OH MSA",2010,Cleveland,OH,2084
"Cincinnati, OH-KY-IN MSA",2009,Cincinnati,OH,1036
"Milwaukee-Waukesha, WI MSA",2007,Milwaukee,WI,1492
"Orlando-Kissimmee-Sanford, FL MSA",2014,Orlando,FL,2466
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2011,Washington,DC,8778
"Orlando-Kissimmee-Sanford, FL MSA",2017,Orlando,FL,2229
"Louisville/Jefferson County, KY-IN MSA",2007,Louisville,KY,2509
"San Francisco-Oakland-Berkeley, CA MSA",2007,San Francisco,CA,5756
"Phoenix-Mesa-Chandler, AZ MSA",2020,Phoenix,AZ,3953
"Austin-Round Rock-Georgetown, TX MSA",2012,Austin,TX,1157
"Columbus, OH MSA",2010,Columbus,OH,942
"Providence-Warwick, RI-MA MSA",2018,Providence,MA,1402
"Houston-The Woodlands-Sugar Land, TX MSA",2018,Houston,TX,3032
"Charlotte-Concord-Gastonia, NC-SC MSA",2012,Charlotte,NC,2302
"San Jose-Sunnyvale-Santa Clara, CA MSA",2013,San Jose,CA,1801
"Portland-Vancouver-Hillsboro, OR-WA MSA",2011,Portland,OR,3452
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2020,Washington,DC,8166
"San Antonio-New Braunfels, TX MSA",2021,San Antonio,TX,2329
"Milwaukee-Waukesha, WI MSA",2008,Milwaukee,WI,1462
"Austin-Round Rock-Georgetown, TX MSA",2013,Austin,TX,1142
"San Jose-Sunnyvale-Santa Clara, CA MSA",2016,San Jose,CA,1849
"Providence-Warwick, RI-MA MSA",2012,Providence,MA,1571
"Fresno, CA MSA",2021,Fresno,CA,1020
"Fresno, CA MSA",2010,Fresno,CA,1581
"Austin-Round Rock-Georgetown, TX MSA",2017,Austin,TX,1293
"Buffalo-Cheektowaga, NY MSA",2010,Buffalo,NY,949
"Austin-Round Rock-Georgetown, TX MSA",2015,Austin,TX,1162
"Richmond, VA MSA",2007,Richmond,VA,799
"Riverside-San Bernardino-Ontario, CA MSA",2014,Riverside,CA,2495
"New York-Newark-Jersey City, NY-NJ-PA MSA",2010,New York,NY,60537
"Cincinnati, OH-KY-IN MSA",2012,Cincinnati,OH,1552
"Detroit-Warren-Dearborn, MI MSA",2018,Detroit,MI,2442
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2010,Chicago,IL,7788
"Providence-Warwick, RI-MA MSA",2013,Providence,MA,1563
"Providence-Warwick, RI-MA MSA",2009,Providence,MA,1859
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2018,Atlanta,GA,3159
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2022,Virginia Beach,VA,819
"Boston-Cambridge-Newton, MA-NH MSA",2009,Boston,MA,5550
"Richmond, VA MSA",2014,Richmond,VA,721
"Memphis, TN-MS-AR MSA",2017,Memphis,TN,1524
"Cincinnati, OH-KY-IN MSA",2017,Cincinnati,OH,971
"Boston-Cambridge-Newton, MA-NH MSA",2016,Boston,MA,6694
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,Los Angeles,CA,23732
"Memphis, TN-MS-AR MSA",2010,Memphis,TN,1685
"Denver-Aurora-Lakewood, CO MSA",2008,Denver,CO,4504
"Las Vegas-Henderson-Paradise, NV MSA",2017,Las Vegas,NV,2106
"Houston-The Woodlands-Sugar Land, TX MSA",2019,Houston,TX,2714
"Austin-Round Rock-Georgetown, TX MSA",2007,Austin,TX,1414
"Boston-Cambridge-Newton, MA-NH MSA",2013,Boston,MA,6267
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2021,Miami,FL,4870
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2015,Philadelphia,PA,11281
"New York-Newark-Jersey City, NY-NJ-PA MSA",2018,New York,NY,86686
"Birmingham-Hoover, AL MSA",2021,Birmingham,AL,605
"San Jose-Sunnyvale-Santa Clara, CA MSA",2007,San Jose,CA,2189
"Kansas City, MO-KS MSA",2007,Kansas City,KS,178
"St. Louis, MO-IL MSA",2007,St. Louis,MO,1716
"Louisville/Jefferson County, KY-IN MSA",2021,Louisville,KY,1074
"Boston-Cambridge-Newton, MA-NH MSA",2020,Boston,MA,6367
"Phoenix-Mesa-Chandler, AZ MSA",2008,Phoenix,AZ,5693
"Charlotte-Concord-Gastonia, NC-SC MSA",2013,Charlotte,NC,2160
"Salt Lake City, UT MSA",2014,Salt Lake City,UT,1712
"Louisville/Jefferson County, KY-IN MSA",2022,Louisville,KY,981
"Memphis, TN-MS-AR MSA",2012,Memphis,TN,1874
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2016,Washington,DC,10174
"Seattle-Tacoma-Bellevue, WA MSA",2021,Seattle,WA,7809
"Dallas-Fort Worth-Arlington, TX MSA",2013,Dallas,TX,5931
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2017,Miami,FL,5257
"Oklahoma City, OK MSA",2016,Oklahoma City,OK,1364
"Pittsburgh, PA MSA",2014,Pittsburgh,PA,1466
"St. Louis, MO-IL MSA",2021,St. Louis,MO,1278
"Richmond, VA MSA",2015,Richmond,VA,702
"Austin-Round Rock-Georgetown, TX MSA",2011,Austin,TX,1198
"Indianapolis-Carmel-Anderson, IN MSA",2010,Indianapolis,IN,2237
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2016,Atlanta,GA,4213
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2019,Philadelphia,PA,9243
"Denver-Aurora-Lakewood, CO MSA",2011,Denver,CO,4369
"San Antonio-New Braunfels, TX MSA",2010,San Antonio,TX,1711
"Detroit-Warren-Dearborn, MI MSA",2017,Detroit,MI,2702
"Houston-The Woodlands-Sugar Land, TX MSA",2013,Houston,TX,3838
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2015,Washington,DC,8862
"Detroit-Warren-Dearborn, MI MSA",2020,Detroit,MI,2205
"Baltimore-Columbia-Towson, MD MSA",2017,Baltimore,MD,2798
"Sacramento-Roseville-Folsom, CA MSA",2019,Sacramento,CA,1626
"Jacksonville, FL MSA",2018,Jacksonville,FL,1564
"Oklahoma City, OK MSA",2007,Oklahoma City,OK,1297
"St. Louis, MO-IL MSA",2014,St. Louis,MO,1740
"San Diego-Chula Vista-Carlsbad, CA MSA",2015,San Diego,CA,4546
"Louisville/Jefferson County, KY-IN MSA",2019,Louisville,KY,773
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2010,Minneapolis,MN,4772
"Oklahoma City, OK MSA",2012,Oklahoma City,OK,1241
"Louisville/Jefferson County, KY-IN MSA",2008,Louisville,KY,2380
"Seattle-Tacoma-Bellevue, WA MSA",2022,Seattle,WA,9406
"Pittsburgh, PA MSA",2016,Pittsburgh,PA,1196
"Indianapolis-Carmel-Anderson, IN MSA",2018,Indianapolis,IN,1473
"Buffalo-Cheektowaga, NY MSA",2018,Buffalo,NY,1039
"Cincinnati, OH-KY-IN MSA",2010,Cincinnati,OH,1057
"Indianapolis-Carmel-Anderson, IN MSA",2014,Indianapolis,IN,1806
"Cincinnati, OH-KY-IN MSA",2018,Cincinnati,OH,997
"Cleveland-Elyria, OH MSA",2009,Cleveland,OH,2108
"Birmingham-Hoover, AL MSA",2018,Birmingham,AL,877
"Milwaukee-Waukesha, WI MSA",2014,Milwaukee,WI,1511
"Louisville/Jefferson County, KY-IN MSA",2012,Louisville,KY,1352
"Buffalo-Cheektowaga, NY MSA",2009,Buffalo,NY,953
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2010,Philadelphia,PA,11372
"Raleigh-Cary, NC MSA",2009,Raleigh,NC,1761
"Kansas City, MO-KS MSA",2012,Kansas City,KS,252
"Jacksonville, FL MSA",2015,Jacksonville,FL,1626
"New York-Newark-Jersey City, NY-NJ-PA MSA",2022,New York,NY,75029
"Pittsburgh, PA MSA",2012,Pittsburgh,PA,1409
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2022,Minneapolis,MN,4514
"Kansas City, MO-KS MSA",2021,Kansas City,KS,126
"Fresno, CA MSA",2022,Fresno,CA,2153
"Oklahoma City, OK MSA",2013,Oklahoma City,OK,1374
"Phoenix-Mesa-Chandler, AZ MSA",2016,Phoenix,AZ,4030
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2018,Nashville,TN,1945
"Denver-Aurora-Lakewood, CO MSA",2016,Denver,CO,4723
"Orlando-Kissimmee-Sanford, FL MSA",2016,Orlando,FL,2088
"Los Angeles-Long Beach-Anaheim, CA MSA",2008,Los Angeles,CA,20106
"Las Vegas-Henderson-Paradise, NV MSA",2018,Las Vegas,NV,1858
"Raleigh-Cary, NC MSA",2014,Raleigh,NC,1860
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2011,Nashville,TN,1590
"Pittsburgh, PA MSA",2020,Pittsburgh,PA,682
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2007,Chicago,IL,8172
"Fresno, CA MSA",2013,Fresno,CA,948
"Birmingham-Hoover, AL MSA",2013,Birmingham,AL,1188
"San Jose-Sunnyvale-Santa Clara, CA MSA",2021,San Jose,CA,1908
"Denver-Aurora-Lakewood, CO MSA",2021,Denver,CO,5813
"San Antonio-New Braunfels, TX MSA",2020,San Antonio,TX,1814
"Sacramento-Roseville-Folsom, CA MSA",2007,Sacramento,CA,1641
"Tampa-St Petersburg-Clearwater, FL MSA",2012,Tampa,FL,3413
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2021,Virginia Beach,VA,877
"Salt Lake City, UT MSA",2018,Salt Lake City,UT,1858
"Houston-The Woodlands-Sugar Land, TX MSA",2015,Houston,TX,3067
"Tampa-St Petersburg-Clearwater, FL MSA",2021,Tampa,FL,2471
"Fresno, CA MSA",2007,Fresno,CA,2657
"Orlando-Kissimmee-Sanford, FL MSA",2022,Orlando,FL,2315
"San Diego-Chula Vista-Carlsbad, CA MSA",2014,San Diego,CA,4472
"Cincinnati, OH-KY-IN MSA",2011,Cincinnati,OH,1349
"Orlando-Kissimmee-Sanford, FL MSA",2011,Orlando,FL,2812
"St. Louis, MO-IL MSA",2016,St. Louis,MO,1798
"Las Vegas-Henderson-Paradise, NV MSA",2010,Las Vegas,NV,3039
"Columbus, OH MSA",2015,Columbus,OH,1074
"Cincinnati, OH-KY-IN MSA",2020,Cincinnati,OH,1131
"Orlando-Kissimmee-Sanford, FL MSA",2007,Orlando,FL,2350
"Birmingham-Hoover, AL MSA",2019,Birmingham,AL,793
"Salt Lake City, UT MSA",2012,Salt Lake City,UT,1904
"Cincinnati, OH-KY-IN MSA",2008,Cincinnati,OH,1052
"San Antonio-New Braunfels, TX MSA",2009,San Antonio,TX,1756
"Charlotte-Concord-Gastonia, NC-SC MSA",2022,Charlotte,NC,1853
"Riverside-San Bernardino-Ontario, CA MSA",2013,Riverside,CA,2506
"Jacksonville, FL MSA",2014,Jacksonville,FL,1714
"Richmond, VA MSA",2021,Richmond,VA,734
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2011,Atlanta,GA,5890
"Portland-Vancouver-Hillsboro, OR-WA MSA",2012,Portland,OR,3661
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2012,Virginia Beach,VA,1470
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2019,Miami,FL,4731
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2021,Atlanta,GA,3161
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2011,Minneapolis,MN,4579
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2008,Miami,FL,6418
"Oklahoma City, OK MSA",2021,Oklahoma City,OK,631
"Seattle-Tacoma-Bellevue, WA MSA",2019,Seattle,WA,8154
"San Jose-Sunnyvale-Santa Clara, CA MSA",2020,San Jose,CA,1628
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2007,Minneapolis,MN,4617
"Indianapolis-Carmel-Anderson, IN MSA",2015,Indianapolis,IN,1712
"Denver-Aurora-Lakewood, CO MSA",2013,Denver,CO,4915
"Raleigh-Cary, NC MSA",2015,Raleigh,NC,1694
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2014,Nashville,TN,2011
"Los Angeles-Long Beach-Anaheim, CA MSA",2011,Los Angeles,CA,17879
"Charlotte-Concord-Gastonia, NC-SC MSA",2020,Charlotte,NC,1552
"Pittsburgh, PA MSA",2013,Pittsburgh,PA,1454
"Buffalo-Cheektowaga, NY MSA",2012,Buffalo,NY,971
"San Jose-Sunnyvale-Santa Clara, CA MSA",2008,San Jose,CA,1891
"Kansas City, MO-KS MSA",2019,Kansas City,KS,135
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2014,Virginia Beach,VA,1269
"Houston-The Woodlands-Sugar Land, TX MSA",2012,Houston,TX,4293
"Orlando-Kissimmee-Sanford, FL MSA",2008,Orlando,FL,2410
"Dallas-Fort Worth-Arlington, TX MSA",2011,Dallas,TX,6874
"Memphis, TN-MS-AR MSA",2008,Memphis,TN,1756
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2017,Atlanta,GA,4024
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2009,Minneapolis,MN,4569
"Indianapolis-Carmel-Anderson, IN MSA",2013,Indianapolis,IN,1672
"Cincinnati, OH-KY-IN MSA",2021,Cincinnati,OH,935
"San Diego-Chula Vista-Carlsbad, CA MSA",2013,San Diego,CA,4213
"Orlando-Kissimmee-Sanford, FL MSA",2015,Orlando,FL,2155
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2020,Philadelphia,PA,9439
"Denver-Aurora-Lakewood, CO MSA",2009,Denver,CO,4318
"Los Angeles-Long Beach-Anaheim, CA MSA",2010,Los Angeles,CA,17973
"Detroit-Warren-Dearborn, MI MSA",2022,Detroit,MI,2073